Modelo,Color,Site,Attacked,Predator,Certainty
313,Yellow,Los Catios,Attacked,Ave,Seguro
314,Yellow,Los Catios,Attacked,Ave,Seguro
315,Yellow,Los Catios,Attacked,Ave,Seguro
316,Yellow,Los Catios,Attacked,Ave,Seguro
317,Yellow,Los Catios,Attacked,Ave,Seguro
318,Yellow,Los Catios,Attacked,Ave,Seguro
319,Yellow,Los Catios,Attacked,Ave,Seguro
320,Yellow,Los Catios,Attacked,Ave,Seguro
321,Yellow,Los Catios,Attacked,Ave,Tentativo
322,Yellow,Los Catios,Attacked,Mamifero,Seguro
323,Yellow,Los Catios,Attacked,Mamifero,Seguro
324,Yellow,Los Catios,Attacked,Mamifero,Seguro
325,Yellow,Los Catios,Attacked,Mamifero,Seguro
326,Yellow,Los Catios,Attacked,Mamifero,Seguro
327,Yellow,Los Catios,Attacked,Mamifero,Seguro
328,Yellow,Los Catios,Attacked,Mamifero,Seguro
329,Yellow,Los Catios,Attacked,Mamifero,Seguro
330,Yellow,Los Catios,Attacked,Mamifero,Seguro
331,Yellow,Los Catios,Attacked,Mamifero,Seguro
332,Yellow,Los Catios,Attacked,Mamifero,Seguro
333,Yellow,Los Catios,Attacked,Mamifero,Seguro
334,Yellow,Los Catios,Attacked,Mamifero,Seguro
335,Yellow,Los Catios,Attacked,Mamifero,Seguro
336,Yellow,Los Catios,Attacked,Mamifero,Seguro
337,Yellow,Los Catios,Attacked,Mamifero,Seguro
338,Yellow,Los Catios,No,None,NA
339,Yellow,Los Catios,No,None,NA
340,Yellow,Los Catios,No,None,NA
341,Yellow,Los Catios,No,None,NA
342,Yellow,Los Catios,No,None,NA
343,Yellow,Los Catios,No,None,NA
344,Yellow,Los Catios,No,None,NA
345,Yellow,Los Catios,No,None,NA
346,Yellow,Los Catios,No,None,NA
347,Yellow,Los Catios,No,None,NA
348,Yellow,Los Catios,No,None,NA
349,Yellow,Los Catios,No,None,NA
350,Yellow,Los Catios,No,None,NA
351,Yellow,Los Catios,No,None,NA
352,Yellow,Los Catios,No,None,NA
353,Yellow,Los Catios,No,None,NA
354,Yellow,Los Catios,No,None,NA
355,Yellow,Los Catios,No,None,NA
356,Yellow,Los Catios,No,None,NA
357,Yellow,Los Catios,No,None,NA
358,Yellow,Los Catios,No,None,NA
359,Yellow,Los Catios,No,None,NA
360,Yellow,Los Catios,No,None,NA
361,Yellow,Los Catios,No,None,NA
362,Yellow,Los Catios,No,None,NA
363,Yellow,Los Catios,No,None,NA
364,Yellow,Los Catios,No,None,NA
365,Yellow,Los Catios,No,None,NA
366,Yellow,Los Catios,No,None,NA
367,Yellow,Los Catios,No,None,NA
368,Yellow,Los Catios,No,None,NA
369,Yellow,Los Catios,No,None,NA
370,Yellow,Los Catios,No,None,NA
371,Yellow,Los Catios,No,None,NA
372,Yellow,Los Catios,No,None,NA
373,Yellow,Los Catios,No,None,NA
374,Yellow,Los Catios,No,None,NA
375,Yellow,Los Catios,No,None,NA
376,Yellow,Los Catios,No,None,NA
377,Yellow,Los Catios,No,None,NA
378,Yellow,Los Catios,No,None,NA
379,Yellow,Los Catios,No,None,NA
380,Yellow,Los Catios,No,None,NA
381,Yellow,Los Catios,No,None,NA
382,Yellow,Los Catios,No,None,NA
383,Yellow,Los Catios,No,None,NA
